,High,Low,Medium
bare,-2.8216704288985817e-05,-0.00014818107727632146,0.0
intens,0.0,0.00044454323182929745,0.0
rate,0.0,0.0,0.0
implant,5.643340857786061e-05,0.00029636215455286496,0.0
food,0.0,0.00044454323182929745,0.0
hormon,2.8216704288874794e-05,7.409053863827175e-05,0.0
doc,0.0,0.0003704526931911367,0.0
begin,0.0,-0.00014818107727632146,0.0
prevent,0.0,0.00014818107727643248,0.0
asleep,-2.8216704288985817e-05,-7.409053863816073e-05,0.0
total,-2.8216704288985817e-05,7.409053863827175e-05,0.0
toler,0.0,0.00014818107727643248,0.0
wont,2.8216704288874794e-05,0.00029636215455286496,0.0
decreas,0.0,7.409053863827175e-05,0.0
talk,0.0,0.0,0.0
pleas,5.643340857786061e-05,0.00014818107727643248,0.0
clot,2.8216704288874794e-05,0.0005186337704675692,0.0
stuff,0.0,0.0003704526931911367,0.0
isnt,0.0,-7.409053863816073e-05,0.0
plan,-2.8216704288985817e-05,0.00022227161591470423,0.0
poison,0.0,0.0007409053863821624,0.0
joint,-2.8216704288985817e-05,0.0,0.00041416442327602
scare,2.8216704288874794e-05,7.409053863827175e-05,0.0
sleepi,0.0,0.00022227161591470423,0.00020708221163801
stand,-2.8216704288985817e-05,0.0,0.0
liter,0.0,7.409053863827175e-05,0.0
pass,0.0,-7.409053863816073e-05,0.0
plus,0.0,7.409053863827175e-05,0.0
walk,0.0,7.409053863827175e-05,0.0
upset,0.0,-7.409053863816073e-05,0.00041416442327602
inject,8.46501128667354e-05,0.00014818107727643248,0.0
place,2.8216704288874794e-05,0.00014818107727643248,0.0
live,0.0,0.0008890864636585949,0.0
numb,-5.643340857797163e-05,0.0,0.0
test,2.8216704288874794e-05,0.0,0.0
9,0.0,0.0,0.0
abdomin,2.8216704288874794e-05,0.0,0.0
urin,-2.8216704288985817e-05,0.00022227161591470423,0.0
smoke,-5.643340857797163e-05,0.0003704526931911367,0.0
2nd,-2.8216704288985817e-05,7.409053863827175e-05,0.00020708221163801
okay,0.0,7.409053863827175e-05,0.0
rememb,-2.8216704288985817e-05,0.00022227161591470423,0.0
24,5.643340857786061e-05,7.409053863827175e-05,0.0
exercis,2.8216704288874794e-05,0.0006668148477440017,0.00020708221163801
expens,0.0,7.409053863827175e-05,0.0
monistat,-5.643340857797163e-05,0.0008890864636585949,0.0
worsen,-2.8216704288985817e-05,0.0005186337704675692,0.0
occasion,-5.643340857797163e-05,0.0005927243091057299,0.0
cycl,2.8216704288874794e-05,0.00014818107727643248,0.0
probabl,0.0,0.0,0.0
near,-2.8216704288985817e-05,0.0,0.0
chronic,-5.643340857797163e-05,0.0,0.0
agit,0.0,0.0,0.00020708221163801
hot,2.8216704288874794e-05,0.00014818107727643248,0.0
finish,-5.643340857797163e-05,-0.00014818107727632146,0.0
realiz,2.8216704288874794e-05,0.0003704526931911367,0.0
fact,2.8216704288874794e-05,7.409053863827175e-05,0.0
sugar,0.0,0.0,0.0
super,0.0,-7.409053863816073e-05,0.0
mirena,0.0,-0.00014818107727632146,0.0
disord,-2.8216704288985817e-05,0.0006668148477440017,0.0
useless,2.8216704288874794e-05,0.0005927243091057299,0.0
depo,0.0,0.00029636215455286496,0.0
cold,2.8216704288874794e-05,0.0,0.0
easi,5.643340857786061e-05,0.0005927243091057299,0.0
follow,0.0,-7.409053863816073e-05,0.0
boyfriend,0.0,-7.409053863816073e-05,0.0
function,-2.8216704288985817e-05,7.409053863827175e-05,0.0
awak,0.0,-7.409053863816073e-05,0.0
small,-5.643340857797163e-05,0.00014818107727643248,0.0
husband,0.0,0.00014818107727643248,0.0
calm,0.0,0.00022227161591470423,0.0
throat,0.0,0.00014818107727643248,0.0
fast,-2.8216704288985817e-05,0.00022227161591470423,0.0
believ,0.0,0.00022227161591470423,0.0
antibiot,2.8216704288874794e-05,0.0,0.0
tablet,0.0,-7.409053863816073e-05,0.0
patch,0.0,-7.409053863816073e-05,0.0
surgeri,5.643340857786061e-05,0.00022227161591470423,0.0
drop,0.0,-7.409053863816073e-05,0.0
goe,0.0,0.0,0.0
mention,0.0,0.0,0.0
25,-8.465011286684643e-05,0.0,0.0
3rd,0.0,7.409053863827175e-05,0.0
let,0.0,0.00022227161591470423,0.0
kill,0.0,0.0,0.0
feet,0.0,0.00022227161591470423,0.0
sensit,0.0,0.0,0.0
relax,-2.8216704288985817e-05,0.0003704526931911367,0.0
suggest,0.0,-7.409053863816073e-05,0.0
current,0.0,0.0,0.0
troubl,0.0,0.0,0.0
weird,0.0,-7.409053863816073e-05,0.0
23,0.0,7.409053863827175e-05,0.0
unabl,0.0,7.409053863827175e-05,0.0
warn,2.8216704288874794e-05,0.00022227161591470423,0.0
uti,-5.643340857797163e-05,0.0,0.0
big,-2.8216704288985817e-05,0.0,0.0
late,0.0,0.0,0.0
research,5.643340857786061e-05,0.00044454323182929745,0.0
100,0.0,-7.409053863816073e-05,0.0
cost,0.0,0.00014818107727643248,0.0
yesterday,2.8216704288874794e-05,-7.409053863816073e-05,0.0
memori,-2.8216704288985817e-05,0.00014818107727643248,0.00020708221163801
generic,0.0,-7.409053863816073e-05,0.0
honest,0.0,0.0,0.0
possibl,2.8216704288874794e-05,7.409053863827175e-05,0.0
2015,2.8216704288874794e-05,-7.409053863816073e-05,0.0
return,0.0,7.409053863827175e-05,0.0
reliev,5.643340857786061e-05,7.409053863827175e-05,0.0
prescript,-2.8216704288985817e-05,-7.409053863816073e-05,0.0
broke,-8.465011286684643e-05,7.409053863827175e-05,0.0
frustrat,0.0,-7.409053863816073e-05,0.0
treat,0.0,7.409053863827175e-05,0.0
sudden,2.8216704288874794e-05,7.409053863827175e-05,0.0
implanon,0.0,0.0,0.0
flu,2.8216704288874794e-05,0.0,0.0
benefit,0.0,0.0,0.0
brain,0.0,0.0,0.0
10mg,-2.8216704288985817e-05,-7.409053863816073e-05,0.0
drowsi,0.0,-7.409053863816073e-05,0.0
real,5.643340857786061e-05,0.00022227161591470423,0.0
excel,2.8216704288874794e-05,0.00029636215455286496,0.00020708221163801
dream,0.0,-7.409053863816073e-05,0.0
frequent,0.0,0.00014818107727643248,0.0
neck,0.0,7.409053863827175e-05,0.0
diet,0.0,0.00029636215455286496,0.0
glad,-2.8216704288985817e-05,0.00022227161591470423,0.0
zombi,0.0,0.00014818107727643248,0.0
son,-5.643340857797163e-05,7.409053863827175e-05,0.0
instead,0.0,7.409053863827175e-05,0.0
miss,0.0,-7.409053863816073e-05,0.0
bladder,0.0,0.00014818107727643248,0.00020708221163801
run,0.0,0.00014818107727643248,0.0
hungri,0.0,-7.409053863816073e-05,0.0
50,-2.8216704288985817e-05,0.00044454323182929745,0.0
hallucin,2.8216704288874794e-05,0.00022227161591470423,0.0
consid,2.8216704288874794e-05,0.0,0.0
saw,0.0,-7.409053863816073e-05,0.0
kind,0.0,-7.409053863816073e-05,0.0
iud,2.8216704288874794e-05,0.00022227161591470423,0.0
irregular,0.0,-7.409053863816073e-05,0.0
sit,0.0,7.409053863827175e-05,0.0
huge,0.0,0.00014818107727643248,0.0
cream,0.0,0.00029636215455286496,0.0
threw,0.0,0.00029636215455286496,0.00020708221163801
activ,0.0,7.409053863827175e-05,0.0
antidepress,-2.8216704288985817e-05,0.00029636215455286496,0.0
figur,5.643340857786061e-05,7.409053863827175e-05,0.0
crave,0.0,0.00029636215455286496,0.00020708221163801
leav,-2.8216704288985817e-05,0.0,0.0
awesom,5.643340857786061e-05,0.0005186337704675692,0.00020708221163801
especi,-2.8216704288985817e-05,0.0,0.0
saver,0.0,0.00029636215455286496,0.0
type,2.8216704288874794e-05,-7.409053863816073e-05,0.0
